genre,title,vote
Fiction,The Midnight Library,"72,828
votes"
Mystery & Thriller,The Guest List,"73,605
votes"
Historical Fiction,The Vanishing Half,"102,626
votes"
Fantasy,"House of Earth and Blood (Crescent City, #1)","95,084
votes"
Romance,"From Blood and Ash (Blood And Ash, #1)","70,896
votes"
Science Fiction,To Sleep in a Sea of Stars,"45,833
votes"
Horror,Mexican Gothic,"85,626
votes"
Humor,Strange Planet (Strange Planet #1),"45,156
votes"
Nonfiction,"Stamped: Racism, Antiracism, and You","43,685
votes"
Memoir & Autobiography,A Promised Land,"81,284
votes"
History & Biography,Caste: The Origins of Our Discontents,"45,806
votes"
Science & Technology,A Life on Our Planet: My Witness Statement and a Vision for the Future,"35,675
votes"
Food & Cookbooks,Modern Comfort Food: A Barefoot Contessa Cookbook,"27,866
votes"
Graphic Novels & Comics,"Heartstopper: Volume Three (Heartstopper, #3)","44,384
votes"
Poetry,Dearly,"22,811
votes"
Debut Novel,Such a Fun Age,"52,450
votes"
Young Adult Fiction,Clap When You Land,"39,335
votes"
Young Adult Fantasy,"The Queen of Nothing (The Folk of the Air, #3)","62,771
votes"
Middle Grade & Children's,"The Tower of Nero (The Trials of Apollo, #5)","49,341
votes"
Picture Books,Antiracist Baby,"28,359
votes"
